model,training_size,run_id,seed,auroc,f1,accuracy,precision,recall
logistic_regression,120,11,1053,0.6131249999999999,0.56,0.5875,0.6,0.525
logistic_regression,120,12,1054,0.6275000000000001,0.5384615384615384,0.55,0.5526315789473685,0.525
logistic_regression,120,13,1055,0.6599999999999999,0.6153846153846154,0.625,0.631578947368421,0.6
logistic_regression,120,14,1056,0.7150000000000001,0.6842105263157895,0.7,0.7222222222222222,0.65
logistic_regression,120,15,1057,0.61625,0.5405405405405406,0.575,0.5882352941176471,0.5
logistic_regression,120,16,1058,0.6268750000000001,0.5714285714285714,0.5875,0.5945945945945946,0.55
logistic_regression,120,17,1059,0.57,0.48484848484848486,0.575,0.6153846153846154,0.4
logistic_regression,120,18,1060,0.649375,0.5352112676056338,0.5875,0.6129032258064516,0.475
logistic_regression,120,19,1061,0.690625,0.5945945945945946,0.625,0.6470588235294118,0.55
logistic_regression,160,0,2042,0.70125,0.6197183098591549,0.6625,0.7096774193548387,0.55
logistic_regression,160,1,2043,0.6893750000000001,0.5294117647058824,0.6,0.6428571428571429,0.45
logistic_regression,160,2,2044,0.5906250000000001,0.547945205479452,0.5875,0.6060606060606061,0.5
logistic_regression,160,3,2045,0.6268750000000001,0.5714285714285714,0.5875,0.5945945945945946,0.55
logistic_regression,160,4,2046,0.5231250000000001,0.4722222222222222,0.525,0.53125,0.425
logistic_regression,160,5,2047,0.6675,0.5789473684210527,0.6,0.6111111111111112,0.55
logistic_regression,160,6,2048,0.594375,0.5277777777777778,0.575,0.59375,0.475
logistic_regression,160,7,2049,0.6687500000000001,0.631578947368421,0.65,0.6666666666666666,0.6
logistic_regression,160,8,2050,0.654375,0.6493506493506493,0.6625,0.6756756756756757,0.625
logistic_regression,160,9,2051,0.7206250000000001,0.6486486486486487,0.675,0.7058823529411765,0.6
logistic_regression,160,10,2052,0.5925,0.5833333333333334,0.625,0.65625,0.525
logistic_regression,160,11,2053,0.62375,0.6027397260273972,0.6375,0.6666666666666666,0.55
logistic_regression,160,12,2054,0.584375,0.5352112676056338,0.5875,0.6129032258064516,0.475
logistic_regression,160,13,2055,0.6062500000000001,0.5526315789473685,0.575,0.5833333333333334,0.525
logistic_regression,160,14,2056,0.56625,0.5333333333333333,0.5625,0.5714285714285714,0.5
logistic_regression,160,15,2057,0.713125,0.6666666666666666,0.6875,0.7142857142857143,0.625
logistic_regression,160,16,2058,0.6275,0.547945205479452,0.5875,0.6060606060606061,0.5
logistic_regression,160,17,2059,0.53625,0.5454545454545454,0.5625,0.5675675675675675,0.525
logistic_regression,160,18,2060,0.696875,0.6153846153846154,0.625,0.631578947368421,0.6
logistic_regression,160,19,2061,0.624375,0.6097560975609756,0.6,0.5952380952380952,0.625
logistic_regression,200,0,3042,0.69,0.5753424657534246,0.6125,0.6363636363636364,0.525
logistic_regression,200,1,3043,0.611875,0.5333333333333333,0.5625,0.5714285714285714,0.5
logistic_regression,200,2,3044,0.6368750000000001,0.4857142857142857,0.55,0.5666666666666667,0.425
logistic_regression,200,3,3045,0.6131249999999999,0.547945205479452,0.5875,0.6060606060606061,0.5
logistic_regression,200,4,3046,0.64875,0.5945945945945946,0.625,0.6470588235294118,0.55
logistic_regression,200,5,3047,0.65,0.6285714285714286,0.675,0.7333333333333333,0.55
logistic_regression,200,6,3048,0.6543749999999999,0.5974025974025974,0.6125,0.6216216216216216,0.575
logistic_regression,200,7,3049,0.644375,0.5428571428571428,0.6,0.6333333333333333,0.475
logistic_regression,200,8,3050,0.6131249999999999,0.5675675675675675,0.6,0.6176470588235294,0.525
logistic_regression,200,9,3051,0.641875,0.5675675675675675,0.6,0.6176470588235294,0.525
logistic_regression,200,10,3052,0.7362500000000001,0.6666666666666666,0.7,0.75,0.6
logistic_regression,200,11,3053,0.715,0.6216216216216216,0.65,0.6764705882352942,0.575
