model,training_size,run_id,seed,feature_name,mean_abs_shap
logistic_regression,120,2,1044,verb_ratio,0.16883344287171126
logistic_regression,120,2,1044,adjective_ratio,0.17100089868579155
logistic_regression,120,2,1044,adverb_ratio,0.1285450902689698
logistic_regression,120,2,1044,pronoun_ratio,0.2604722798266242
logistic_regression,120,2,1044,determiner_ratio,0.0546329329872862
logistic_regression,120,3,1045,word_count,0.18899232668505023
logistic_regression,120,3,1045,sentence_count,0.16938794351111985
logistic_regression,120,3,1045,type_token_ratio,0.5085906058500519
logistic_regression,120,3,1045,filler_count,0.016381231089937116
logistic_regression,120,3,1045,filler_ratio,0.04191503988307701
logistic_regression,120,3,1045,mean_clause_length,0.01339678231963306
logistic_regression,120,3,1045,content_density,0.18238204449925832
logistic_regression,120,3,1045,noun_ratio,0.01929096145899497
logistic_regression,120,3,1045,verb_ratio,0.2913741751428013
logistic_regression,120,3,1045,adjective_ratio,0.12869118379238903
logistic_regression,120,3,1045,adverb_ratio,0.06535438734804447
logistic_regression,120,3,1045,pronoun_ratio,0.20694475430278061
logistic_regression,120,3,1045,determiner_ratio,0.02542958251384314
logistic_regression,120,4,1046,word_count,0.16532257035089234
logistic_regression,120,4,1046,sentence_count,0.02452380946772279
logistic_regression,120,4,1046,type_token_ratio,0.4252351629340524
logistic_regression,120,4,1046,filler_count,0.39283263190567974
logistic_regression,120,4,1046,filler_ratio,0.5711079469991073
logistic_regression,120,4,1046,mean_clause_length,0.2017299730103435
logistic_regression,120,4,1046,content_density,0.18400177385951041
logistic_regression,120,4,1046,noun_ratio,0.046672250898082246
logistic_regression,120,4,1046,verb_ratio,0.24668139791637683
logistic_regression,120,4,1046,adjective_ratio,0.06086066198700624
logistic_regression,120,4,1046,adverb_ratio,0.07107339104675692
logistic_regression,120,4,1046,pronoun_ratio,0.24338736771271963
logistic_regression,120,4,1046,determiner_ratio,0.04117364618095648
logistic_regression,120,5,1047,word_count,0.41412827315765705
logistic_regression,120,5,1047,sentence_count,0.3591463235373518
logistic_regression,120,5,1047,type_token_ratio,0.5074102640960041
logistic_regression,120,5,1047,filler_count,0.3117133768779969
logistic_regression,120,5,1047,filler_ratio,0.3838622598207232
